,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
15204,87,123,1/1/17,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,US$ 44.71,40410.0
12543,36,3062,1/1/17,False,Approved,Solex,Standard,low,medium,945.04,US$ 507.58,35052.0
12484,85,2805,1/1/17,True,Approved,WeareA2B,Standard,medium,medium,1228.07,US$ 400.91,36668.0
16397,43,2160,1/1/17,True,Approved,Solex,Standard,medium,medium,1151.96,US$ 649.49,41009.0
15137,3,1022,1/1/17,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,US$ 388.92,36367.0
19157,32,671,1/1/17,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,US$ 211.37,37337.0
12421,78,2552,1/1/17,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,US$ 709.48,41533.0
18435,0,2011,1/1/17,True,Approved,Trek Bicycles,Road,medium,medium,290.62,US$ 215.14,42218.0
11281,74,3166,1/1/17,False,Approved,WeareA2B,Standard,medium,medium,1228.07,US$ 400.91,36668.0
139,11,462,1/1/17,False,Approved,Giant Bicycles,Standard,high,medium,1274.93,US$ 764.96,42560.0
11995,59,1349,1/1/17,True,Approved,Solex,Standard,medium,large,1061.56,US$ 733.58,34170.0
11313,4,2068,1/1/17,True,Approved,Solex,Standard,medium,medium,1483.2,US$ 99.59,36146.0
3524,50,3490,1/1/17,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,US$ 211.37,37337.0
14761,35,3335,1/1/17,0,Approved,Trek Bicycles,Standard,low,medium,1057.51,US$ 154.40,34527.0
8885,58,1691,1/1/17,True,Approved,OHM Cycles,Road,medium,medium,1280.28,US$ 829.51,39915.0
13933,94,824,1/1/17,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,US$ 993.66,38002.0
15851,48,3455,1/1/17,False,Approved,WeareA2B,Standard,medium,medium,1762.96,US$ 950.52,35707.0
8251,27,366,1/1/17,False,Approved,Trek Bicycles,Standard,low,medium,1057.51,US$ 154.40,34527.0
17838,57,642,1/1/17,False,Approved,WeareA2B,Touring,medium,large,1890.39,US$ 260.14,33259.0
11467,27,2686,1/1/17,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,US$ 388.72,36334.0
516,77,311,1/1/17,True,Approved,WeareA2B,Standard,medium,medium,1769.64,US$ 108.76,40672.0
6458,50,1745,1/1/17,False,Approved,WeareA2B,Standard,medium,small,175.89,US$ 131.92,37668.0
5350,53,769,1/1/17,True,Approved,OHM Cycles,Standard,medium,medium,795.34,US$ 101.58,38647.0
5322,11,3010,1/1/17,False,Cancelled,Giant Bicycles,Standard,high,medium,1274.93,US$ 764.96,39298.0
19130,0,1707,1/1/17,False,Approved,Trek Bicycles,Road,medium,medium,290.62,US$ 215.14,38339.0
10002,85,467,1/1/17,True,Approved,WeareA2B,Standard,medium,medium,752.64,US$ 205.36,42218.0
16919,18,113,1/1/17,False,Approved,Solex,Standard,medium,medium,575.27,US$ 431.45,41345.0
11675,96,1229,1/1/17,False,Approved,WeareA2B,Road,low,small,1172.78,"US$ 1,043.77",33364.0
3317,24,2418,1/1/17,True,Approved,Solex,Road,medium,large,1777.8,US$ 820.78,36334.0
13608,40,3073,1/1/17,False,Approved,OHM Cycles,Standard,high,medium,1458.17,US$ 874.90,38750.0
9985,85,3389,1/1/17,True,Approved,WeareA2B,Standard,medium,medium,752.64,US$ 205.36,42218.0
17906,63,1852,1/1/17,True,Cancelled,Solex,Standard,medium,medium,1483.2,US$ 99.59,36146.0
9302,28,3073,1/1/17,False,Approved,Norco Bicycles,Standard,medium,small,1216.14,"US$ 1,082.36",33455.0
2770,51,3470,1/1/17,False,Approved,OHM Cycles,Standard,high,medium,2005.66,"US$ 1,203.40",39427.0
3517,58,523,1/1/17,True,Approved,OHM Cycles,Standard,medium,medium,912.52,US$ 141.40,42145.0
15564,46,2543,1/1/17,True,Approved,Solex,Standard,low,medium,1289.85,US$ 74.51,39427.0
9362,62,871,1/1/17,False,Approved,Solex,Standard,medium,medium,478.16,US$ 298.72,33879.0
8542,17,1935,1/1/17,True,Approved,Solex,Standard,high,medium,1024.66,US$ 614.80,35378.0
2007,38,722,1/1/17,True,Approved,Solex,Standard,medium,medium,1577.53,US$ 826.51,37220.0
5876,67,138,1/1/17,False,Approved,Norco Bicycles,Road,medium,medium,544.05,US$ 376.84,38647.0
4238,12,51,1/1/17,False,Approved,WeareA2B,Standard,medium,medium,1231.15,US$ 161.60,38216.0
16574,19,1745,1/1/17,False,Approved,OHM Cycles,Road,high,large,12.01,US$ 7.21,34115.0
1292,67,1931,1/1/17,True,Approved,Norco Bicycles,Road,medium,medium,544.05,US$ 376.84,38647.0
19542,74,2804,1/1/17,False,Approved,WeareA2B,Standard,medium,medium,1228.07,US$ 400.91,37873.0
1402,0,2891,1/1/17,True,Approved,OHM Cycles,Standard,medium,medium,183.86,US$ 137.90,34170.0
560,65,2298,1/1/17,False,Approved,WeareA2B,Standard,medium,medium,1807.45,US$ 778.69,40410.0
7622,46,3053,1/1/17,False,Approved,OHM Cycles,Standard,low,medium,1793.43,US$ 248.82,36361.0
11029,32,2488,1/1/17,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,US$ 211.37,40336.0
3459,64,234,1/1/17,True,Approved,Giant Bicycles,Standard,high,small,1977.36,"US$ 1,759.85",40779.0
8478,50,1099,1/1/17,True,Approved,WeareA2B,Standard,medium,small,175.89,US$ 131.92,33259.0
19377,61,3321,1/1/17,False,Approved,Norco Bicycles,Standard,medium,small,586.45,US$ 521.94,36145.0
2275,22,2843,1/1/17,False,Approved,WeareA2B,Standard,medium,medium,60.34,US$ 45.26,42404.0
13367,18,1658,1/1/17,True,Approved,Solex,Standard,medium,medium,575.27,US$ 431.45,39880.0
12781,71,1762,1/1/17,False,Approved,Solex,Standard,high,large,1842.92,"US$ 1,105.75",40553.0
9647,92,3056,1/1/17,False,Approved,WeareA2B,Standard,medium,small,1415.01,"US$ 1,259.36",37626.0
12073,89,903,1/10/17,True,Approved,WeareA2B,Touring,medium,large,1362.99,US$ 57.74,34079.0
7228,75,1755,1/10/17,False,Approved,Giant Bicycles,Touring,medium,large,1873.97,US$ 863.95,38859.0
14480,64,1199,1/10/17,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,US$ 596.55,42710.0
11994,0,2019,1/10/17,False,Approved,Trek Bicycles,Standard,high,medium,358.39,US$ 215.03,38002.0
10046,0,687,1/10/17,True,Approved,Norco Bicycles,Road,medium,medium,544.05,US$ 376.84,36668.0
14269,74,2103,1/10/17,False,Approved,WeareA2B,Standard,medium,medium,1228.07,US$ 400.91,36668.0
975,63,1589,1/10/17,False,Approved,Solex,Standard,medium,medium,1483.2,US$ 99.59,38216.0
16561,11,881,1/10/17,True,Approved,Trek Bicycles,Standard,medium,small,1775.81,"US$ 1,580.47",41701.0
12001,60,2185,1/10/17,True,Approved,Giant Bicycles,Standard,high,small,1977.36,"US$ 1,759.85",40779.0
3702,40,1561,1/10/17,True,Approved,OHM Cycles,Standard,high,medium,1458.17,US$ 874.90,39427.0
15639,36,218,1/10/17,True,Approved,Solex,Standard,low,medium,1289.85,US$ 74.51,37668.0
16286,72,55,1/10/17,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,US$ 270.30,37499.0
17606,0,923,1/10/17,True,Approved,Solex,Standard,medium,medium,100.35,US$ 75.26,36367.0
